X,Y,OBJECTID,FORMULARIO,CODIGO_ACCIDENTE,FECHA_OCURRENCIA_ACC,ANO_OCURRENCIA_ACC,DIRECCION,GRAVEDAD,CLASE_ACC,LOCALIDAD,FECHA_HORA_ACC,LATITUD,LONGITUD,CIV,PK_CALZADA
-74.156990493,4.63591310884783,49,A000342349,4439456,2016/03/14 00:00:00+00,2016,KR 81C-CL 5A S 02,SOLO DANOS,CHOQUE,KENNEDY,2016/03/14 06:30:00+00,4.63591311,-74.15699049,8003341,226620
-74.0889999999999,4.58599999984947,51,A001234913,10533127,2020/12/05 00:00:00+00,2020,CL 5 S- KR 11 24,CON HERIDOS,CHOQUE,ANTONIO NARINO,2020/12/05 08:56:00+00,4.586,-74.089,15001518,
-74.1573358369999,4.58044063884966,54,A000278665,4431456,2015/12/08 00:00:00+00,2015,KR 51-CL 68 S 02,CON HERIDOS,ATROPELLO,CIUDAD BOLIVAR,2015/12/08 07:30:00+00,4.58044064,-74.15733584,19002092,235169
-74.101679169,4.67051044684668,57,A000553330,4470250,2017/01/18 00:00:00+00,2017,AV AVENIDA DE LA CONSTITUCION-CL 60 02,SOLO DANOS,CHOQUE,ENGATIVA,2017/01/18 08:00:00+00,4.67051045,-74.10167917,10009609,42059
-74.188613346,4.60172479084893,58,A7888,4415867,2015/06/17 00:00:00+00,2015,KR 78C-CL 68A S 02,SOLO DANOS,CHOQUE,BOSA,2015/06/17 23:30:00+00,4.60172479,-74.18861335,7006960,63059
-74.05637597,4.68959145184609,64,A8472,4416604,2015/06/25 00:00:00+00,2015,AK 45-CL 103 02,SOLO DANOS,CHOQUE,USAQUEN,2015/06/25 08:40:00+00,4.68959145,-74.05637597,1005501,51969
-74.143482331,4.63075826284802,65,A000690990,4499886,2017/11/17 00:00:00+00,2017,AV AVENIDA DE LAS AMERICAS-KR 74B 80,SOLO DANOS,CHOQUE,KENNEDY,2017/11/17 14:48:00+00,4.63075826,-74.14348233,50006510,50013118
-74.1229999999999,4.59399999984919,66,A001235597,10533895,2020/12/13 00:00:00+00,2020,AU SUR - CL 38 S 02,CON HERIDOS,CHOQUE,PUENTE ARANDA,2020/12/13 14:45:00+00,4.594,-74.123,16004529,
-74.097,4.56199999985025,69,A001236169,10530921,2020/12/24 00:00:00+00,2020,KR 3 B - CL 32 S 02,CON HERIDOS,CHOQUE,SAN CRISTOBAL,2020/12/24 09:30:00+00,4.562,-74.097,30001374,
-74.131127443,4.69992852784574,70,A7078,4414948,2015/06/07 00:00:00+00,2015,AC 63-KR 110 02,CON HERIDOS,CHOQUE,ENGATIVA,2015/06/07 02:20:00+00,4.69992853,-74.13112744,10005606,220140
-74.086,4.56899999985003,71,A001232704,10533674,2020/11/10 00:00:00+00,2020,KR 3 E- CL 22 S 30,CON HERIDOS,CHOQUE,SAN CRISTOBAL,2020/11/10 07:00:00+00,4.569,-74.086,4000913,
-74.090703844,4.69398202084596,73,A000197994,4409817,2015/04/11 00:00:00+00,2015,AV AVENIDA BOYACA-CL 79A 14,CON HERIDOS,CHOQUE,ENGATIVA,2015/04/11 20:50:00+00,4.69398202,-74.09070384,10006772,221235
-74.032615506,4.69476473184593,75,A12644,4421244,2015/08/19 00:00:00+00,2015,KR 7-CL 117 02,SOLO DANOS,CHOQUE,USAQUEN,2015/08/19 12:30:00+00,4.69476473,-74.03261551,1005149,174698
-74.158,4.59599999984913,77,A001181922,10533663,2020/09/18 00:00:00+00,2020,CL 57 R S- KR 66 55,CON MUERTOS,CHOQUE,CIUDAD BOLIVAR,2020/09/18 17:05:00+00,4.596,-74.158,19000043,
-74.061014439,4.7113100758454,78,A8492,4416424,2015/06/22 00:00:00+00,2015,CL 127-KR 43 02,CON HERIDOS,CHOQUE,SUBA,2015/06/22 16:30:00+00,4.71131008,-74.06101444,50008940,202268
-74.071,4.59099999984931,79,A001233655,10533892,2020/12/05 00:00:00+00,2020,KR 3 E- CL 6 02,CON HERIDOS,CAIDA DE OCUPANTE,CANDELARIA,2020/12/05 09:20:00+00,4.591,-74.071,17000386,
-74.1059999999999,4.62299999984824,80,A001176276,10533485,2020/05/27 00:00:00+00,2020,CL 6 - KR 47 02,CON MUERTOS,CHOQUE,PUENTE ARANDA,2020/05/27 22:45:00+00,4.623,-74.106,,
-74.0939999999999,4.62599999984814,81,A001235561,10532176,2020/12/12 00:00:00+00,2020,CL 20 - TV 39 02,CON MUERTOS,CHOQUE,PUENTE ARANDA,2020/12/12 21:22:00+00,4.626,-74.094,16000396,
-74.141466212,4.65460749284724,82,A000277395,4430218,2015/11/23 00:00:00+00,2015,AV AVENIDA CIUDAD DE CALI-CL 13A 41,SOLO DANOS,CHOQUE,KENNEDY,2015/11/23 19:40:00+00,4.65460749,-74.14146621,8000071,144744
-74.142916202,4.58276999884955,87,A000604736,4480226,2017/05/02 00:00:00+00,2017,AV AVENIDA BOYACA-CL 56A S 02,CON HERIDOS,CAIDA DE OCUPANTE,TUNJUELITO,2017/05/02 17:20:00+00,4.58277,-74.1429162,6001974,234603
-74.0950707919999,4.67673956884651,90,A000690468,4499532,2017/11/10 00:00:00+00,2017,KR 69L-CL 65 69,SOLO DANOS,CHOQUE,ENGATIVA,2017/11/10 10:30:00+00,4.67673957,-74.09507079,10008995,224493
-74.0924981379999,4.60406575484884,91,A000475861,4463345,2016/11/05 00:00:00+00,2016,CL 7-KR 24 02,SOLO DANOS,CHOQUE,LOS MARTIRES,2016/11/05 06:40:00+00,4.60406576,-74.09249814,14000733,54739
-74.1380004219999,4.61700877484844,93,A000815365,10448605,2018/05/21 00:00:00+00,2018,AV AVENIDA PRIMERO DE MAYO-KR 71F 2,SOLO DANOS,CHOQUE,KENNEDY,2018/05/21 17:30:00+00,4.61700877,-74.13800042,8007649,195950
-74.0538242009999,4.66435433684688,99,A13233,4421365,2015/08/20 00:00:00+00,2015,KR 11-CL 80 02,SOLO DANOS,CHOQUE,CHAPINERO,2015/08/20 16:30:00+00,4.66435434,-74.0538242,2000841,197785
